design_options.claw_opts.connection_pads.readout.claw_length,design_options.claw_opts.connection_pads.readout.ground_spacing,design_options.cpw_opts.total_length,design_options.cpw_opts.meander.asymmetry,design_options.cplr_opts.coupling_length
0.00044,4.1e-06,0.0027,6.6666666667e-05,0.0002
9e-05,4.1e-06,0.0039,-0.000115,0.00023
0.00011,4.1e-06,0.0027,6.6666666667e-05,0.0002
0.0001,4.1e-06,0.0027,6.6666666667e-05,0.0002
0.00037,4.1e-06,0.0039,-0.000115,0.00023
0.00045,4.1e-06,0.0039,-0.000115,0.00023
0.00014,4.1e-06,0.0034,-0.00025,0.0005
7e-05,4.1e-06,0.0047,-0.000175,0.00035
0.00029,4.1e-06,0.0027,6.6666666667e-05,0.0002
0.00018,4.1e-06,0.0027,6.6666666667e-05,0.0002
0.00013,4.1e-06,0.0047,-0.000175,0.00035
0.00016,4.1e-06,0.0039,-5e-05,0.0001
0.00025,4.1e-06,0.0039,-5e-05,0.0001
0.00037,4.1e-06,0.0039,-5e-05,0.0001
0.00012,4.1e-06,0.0039,-0.000115,0.00023
0.00024,4.1e-06,0.0039,-0.000115,0.00023
0.00015,4.1e-06,0.0047,-0.000175,0.00035
0.00031,4.1e-06,0.0027,6.6666666667e-05,0.0002
8e-05,4.1e-06,0.0039,-0.000115,0.00023
0.0002,4.1e-06,0.0039,-5e-05,0.0001
0.0003,4.1e-06,0.0039,-0.000115,0.00023
0.00023,4.1e-06,0.0027,-0.0001,0.0002
0.00035,4.1e-06,0.0039,-0.000115,0.00023
0.00028,4.1e-06,0.0039,-0.000115,0.00023
0.00032,4.1e-06,0.0027,-0.0001,0.0002
0.00045,4.1e-06,0.0034,-0.00025,0.0005
0.00028,4.1e-06,0.0047,-0.000175,0.00035
0.00019,4.1e-06,0.0027,6.6666666667e-05,0.0002
0.00039,4.1e-06,0.0047,-0.000175,0.00035
0.00014,4.1e-06,0.0047,-0.000175,0.00035
0.0003,4.1e-06,0.0039,-5e-05,0.0001
0.00019,4.1e-06,0.0034,-0.00025,0.0005
7e-05,4.1e-06,0.0027,-0.0001,0.0002
0.00044,4.1e-06,0.0034,-0.00025,0.0005
0.0002,4.1e-06,0.0039,-0.000115,0.00023
0.00034,4.1e-06,0.0039,-0.000115,0.00023
0.00035,4.1e-06,0.0034,-0.00025,0.0005
0.00041,4.1e-06,0.0039,-5e-05,0.0001
0.00027,4.1e-06,0.0047,-0.000175,0.00035
0.00045,4.1e-06,0.0027,-0.0001,0.0002
0.00045,4.1e-06,0.0047,-0.000175,0.00035
0.0004,4.1e-06,0.0034,-0.00025,0.0005
0.00012,4.1e-06,0.0027,6.6666666667e-05,0.0002
8e-05,4.1e-06,0.0027,6.6666666667e-05,0.0002
0.00025,4.1e-06,0.0027,6.6666666667e-05,0.0002
0.0004,4.1e-06,0.0039,-5e-05,0.0001
0.00012,4.1e-06,0.0027,-0.0001,0.0002
0.00026,4.1e-06,0.0027,6.6666666667e-05,0.0002
0.0004,4.1e-06,0.0039,-0.000115,0.00023
0.0001,4.1e-06,0.0027,-0.0001,0.0002
0.00038,4.1e-06,0.0027,6.6666666667e-05,0.0002
0.00032,4.1e-06,0.0039,-5e-05,0.0001
0.00027,4.1e-06,0.0039,-5e-05,0.0001
0.00013,4.1e-06,0.0027,6.6666666667e-05,0.0002
0.00026,4.1e-06,0.0027,-0.0001,0.0002
9e-05,4.1e-06,0.0027,6.6666666667e-05,0.0002
0.00037,4.1e-06,0.0027,-0.0001,0.0002
0.00017,4.1e-06,0.0027,-0.0001,0.0002
